# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  523       3.463553609249e-10       9.252981654636e-13      -4.424637053014e-12       8.541300882181e-15       6.261901139446e-14       9.463683188739e-16       3.362108025951e-16 
  524       3.467608109694e-10       9.239865984146e-13      -4.255625972601e-12       8.566168536188e-15       6.219598707282e-14       9.346294298369e-16       3.235396214334e-16 
  525       3.471344316301e-10       9.233566122624e-13      -4.086041973851e-12       8.590912264028e-15       6.177636229573e-14       9.242210138721e-16       3.109198249761e-16 
  526       3.474758154470e-10       9.234183159512e-13      -3.916006693312e-12       8.615527289516e-15       6.136006595189e-14       9.151338326485e-16       2.983524206744e-16 
  527       3.477846450900e-10       9.241800841991e-13      -3.745634917003e-12       8.640009271185e-15       6.094703629963e-14       9.073575539202e-16       2.858384332056e-16 
  528       3.480609735346e-10       9.256431127461e-13      -3.575008357841e-12       8.664355781613e-15       6.053725512156e-14       9.008784142761e-16       2.733789575980e-16 
  529       3.483049516130e-10       9.278067130409e-13      -3.404201170621e-12       8.688564868495e-15       6.013071449207e-14       8.956814882352e-16       2.609751075067e-16 
  530       3.485167362903e-10       9.306700948011e-13      -3.233288547227e-12       8.712634570077e-15       5.972740558254e-14       8.917514509243e-16       2.486279977787e-16 
  531       3.486964906987e-10       9.342323653880e-13      -3.062346721299e-12       8.736562915138e-15       5.932731865548e-14       8.890725759158e-16       2.363387444270e-16 
  532       3.488443841727e-10       9.384925291818e-13      -2.891452972890e-12       8.760347922971e-15       5.893044305878e-14       8.876287330647e-16       2.241084646044e-16 
  533       3.489605922827e-10       9.434494869569e-13      -2.720685633139e-12       8.783987603369e-15       5.853676721980e-14       8.874033863455e-16       2.119382765777e-16 
  534       3.490452968700e-10       9.491020352567e-13      -2.550124088929e-12       8.807479956605e-15       5.814627863964e-14       8.883795916901e-16       1.998292997017e-16 
  535       3.490986860813e-10       9.554488657692e-13      -2.379848787553e-12       8.830822973416e-15       5.775896388721e-14       8.905399948242e-16       1.877826543932e-16 
  536       3.491209544028e-10       9.624885647016e-13      -2.209941241379e-12       8.854014634986e-15       5.737480859352e-14       8.938668291054e-16       1.757994621048e-16 
  537       3.491123026949e-10       9.702196121560e-13      -2.040484032515e-12       8.877052912927e-15       5.699379744577e-14       8.983419133597e-16       1.638808452993e-16 
  538       3.490729382267e-10       9.786403815041e-13      -1.871560817473e-12       8.899935769264e-15       5.661591418157e-14       9.039466497193e-16       1.520279274235e-16 
  539       3.490030747104e-10       9.877491387627e-13      -1.703256331830e-12       8.922661156416e-15       5.624114158312e-14       9.106620214594e-16       1.402418328823e-16 
  540       3.489029323356e-10       9.975440419686e-13      -1.535656394896e-12       8.945227017181e-15       5.586946147137e-14       9.184685908357e-16       1.285236870124e-16 
  541       3.487727378043e-10       1.008023140554e-12      -1.368847914380e-12       8.967631284715e-15       5.550085470020e-14       9.273464969213e-16       1.168746160569e-16 
  542       3.486127243646e-10       1.019184374720e-12      -1.202918891048e-12       8.989871882520e-15       5.513530115061e-14       9.372754534445e-16       1.052957471388e-16 
  543       3.484231318458e-10       1.031025574816e-12      -1.037958423393e-12       9.011946724419e-15       5.477277972489e-14       9.482347466255e-16       9.378820823535e-17 
  544       3.482042066926e-10       1.043544460710e-12      -8.740567122962e-13       9.033853714548e-15       5.441326834079e-14       9.602032330137e-16       8.235312815181e-17 
  545       3.479562019994e-10       1.056738641167e-12      -7.113050656941e-13       9.055590747333e-15       5.405674392571e-14       9.731593373253e-16       7.099163649568e-17 
  546       3.476793775454e-10       1.070605613220e-12      -5.497959032399e-13       9.077155707471e-15       5.370318241089e-14       9.870810502802e-16       5.970486365060e-17 
  547       3.473739998281e-10       1.085142761552e-12      -3.896227609691e-13       9.098546469921e-15       5.335255872553e-14       1.001945926439e-15       4.849394075039e-17 
  548       3.470403420987e-10       1.100347357865e-12      -2.308802959643e-13       9.119760899877e-15       5.300484679106e-14       1.017731082041e-15       3.735999965310e-17 
  549       3.466786843960e-10       1.116216560258e-12      -7.366429101859e-14       9.140796852756e-15       5.266001951523e-14       1.034413192841e-15       2.630417291498e-17 
  550       3.462893135811e-10       1.132747412602e-12       8.192834069940e-14       9.161652174182e-15       5.231804878633e-14       1.051968491946e-15       1.532759376455e-17 
  551       3.458725233716e-10       1.149936843912e-12       2.357995509816e-13       9.182324699964e-15       5.197890546737e-14       1.070372767653e-15       4.431396076542e-18 
  552       3.454286143765e-10       1.167781667728e-12       3.878501519160e-13       9.202812256084e-15       5.164255939026e-14       1.089601361287e-15      -6.383285653987e-18 
  553       3.449578941304e-10       1.186278581486e-12       5.379798112223e-13       9.223112658674e-15       5.130897934995e-14       1.109629165036e-15      -1.711531633771e-17 
  554       3.444606771278e-10       1.205424165894e-12       6.860870475879e-13       9.243223714006e-15       5.097813309864e-14       1.130430619791e-15      -2.776356031699e-17 
  555       3.439372848579e-10       1.225214884305e-12       8.320692260031e-13       9.263143218466e-15       5.064998733999e-14       1.151979712980e-15      -3.832688139185e-17 
  556       3.433880458390e-10       1.245647082099e-12       9.758225530970e-13       9.282868958546e-15       5.032450772321e-14       1.174249976410e-15      -4.880414284597e-17 
  557       3.428132956528e-10       1.266716986048e-12       1.117242072473e-12       9.302398710818e-15       5.000165883731e-14       1.197214484098e-15      -5.919420747267e-17 
  558       3.422133769788e-10       1.288420703702e-12       1.256221660046e-12       9.321730241924e-15       4.968140420526e-14       1.220845850115e-15      -6.949593760088e-17 
  559       3.415886396293e-10       1.310754222754e-12       1.392654019375e-12       9.340861308553e-15       4.936370627817e-14       1.245116226415e-15      -7.970819512113e-17 
  560       3.409394405832e-10       1.333713410424e-12       1.526430677001e-12       9.359789657429e-15       4.904852642943e-14       1.269997300683e-15      -8.982984151155e-17 
  561       3.402661440207e-10       1.357294012827e-12       1.657441977782e-12       9.378513025290e-15       4.873582494895e-14       1.295460294161e-15      -9.985973786380e-17 
  562       3.395691213582e-10       1.381491654353e-12       1.785577080231e-12       9.397029138870e-15       4.842556103730e-14       1.321475959493e-15      -1.097967449091e-16 
  563       3.388487512819e-10       1.406301837040e-12       1.910723951846e-12       9.415335714887e-15       4.811769279988e-14       1.348014578559e-15      -1.196397230443e-16 
  564       3.381054197832e-10       1.431719939949e-12       2.032769364453e-12       9.433430460019e-15       4.781217724112e-14       1.375045960314e-15      -1.293875323575e-16 
  565       3.373395201925e-10       1.457741218539e-12       2.151598889534e-12       9.451311070894e-15       4.750897025867e-14       1.402539438623e-15      -1.390390326546e-16 
  566       3.365514622091e-10       1.484360024778e-12       2.267110867045e-12       9.468975713147e-15       4.720803336653e-14       1.430466903937e-15      -1.485933180191e-16 
  567       3.357416991767e-10       1.511567446683e-12       2.379258716187e-12       9.486424472199e-15       4.690935406661e-14       1.458811988407e-15      -1.580504270713e-16 
  568       3.349107015774e-10       1.539353606817e-12       2.488009703931e-12       9.503657939771e-15       4.661292598976e-14       1.487561112802e-15      -1.674106510333e-16 
  569       3.340589481383e-10       1.567708435150e-12       2.593331070597e-12       9.520676738341e-15       4.631874221096e-14       1.516700473023e-15      -1.766743009609e-16 
  570       3.331869258686e-10       1.596621668138e-12       2.695190030411e-12       9.537481521307e-15       4.602679524595e-14       1.546216039082e-15      -1.858417078578e-16 
  571       3.322951300981e-10       1.626082847813e-12       2.793553772068e-12       9.554072973143e-15       4.573707704797e-14       1.576093554064e-15      -1.949132227891e-16 
  572       3.313840645147e-10       1.656081320861e-12       2.888389459295e-12       9.570451809571e-15       4.544957900442e-14       1.606318533109e-15      -2.038892169950e-16 
  573       3.304542412023e-10       1.686606237708e-12       2.979664231406e-12       9.586618777714e-15       4.516429193356e-14       1.636876262374e-15      -2.127700820044e-16 
  574       3.295061806783e-10       1.717646551604e-12       3.067345203867e-12       9.602574656261e-15       4.488120608123e-14       1.667751798011e-15      -2.215562297486e-16 
  575       3.285404119322e-10       1.749191017707e-12       3.151399468856e-12       9.618320255631e-15       4.460031111752e-14       1.698929965138e-15      -2.302480926752e-16 
  576       3.275574724627e-10       1.781228192167e-12       3.231794095823e-12       9.633856418131e-15       4.432159613345e-14       1.730395356808e-15      -2.388461238613e-16 
  577       3.265579083158e-10       1.813746431207e-12       3.308496132049e-12       9.649184018121e-15       4.404504963771e-14       1.762132332981e-15      -2.473507971277e-16 
  578       3.255422741226e-10       1.846733890210e-12       3.381472603211e-12       9.664303962175e-15       4.377065955332e-14       1.794125019498e-15      -2.557626071524e-16 
  579       3.245111331372e-10       1.880178522802e-12       3.450690513938e-12       9.679217189241e-15       4.349841321430e-14       1.826357307053e-15      -2.640820695841e-16 
  580       3.234650572745e-10       1.914068079935e-12       3.516116848375e-12       9.693924670806e-15       4.322829736244e-14       1.858812850160e-15      -2.723097211559e-16 
  581       3.224046271481e-10       1.948390108971e-12       3.577718570743e-12       9.708427411057e-15       4.296029814391e-14       1.891475066129e-15      -2.804461197995e-16 
  582       3.213304321078e-10       1.983131952765e-12       3.635462625897e-12       9.722726447039e-15       4.269440110602e-14       1.924327134036e-15      -2.884918447581e-16 
  583       3.202430702778e-10       2.018280748751e-12       3.689315939892e-12       9.736822848823e-15       4.243059119386e-14       1.957351993696e-15      -2.964474967007e-16 
  584       3.191431485945e-10       2.053823428024e-12       3.739245420537e-12       9.750717719664e-15       4.216885274704e-14       1.990532344632e-15      -3.043136978353e-16 
  585       3.180312828442e-10       2.089746714423e-12       3.785217957962e-12       9.764412196165e-15       4.190916949636e-14       2.023850645050e-15      -3.120910920230e-16 
  586       3.169080977006e-10       2.126037123617e-12       3.827200425175e-12       9.777907448436e-15       4.165152456049e-14       2.057289110807e-15      -3.197803448915e-16 
  587       3.157742267636e-10       2.162680962188e-12       3.865159678623e-12       9.791204680260e-15       4.139590044269e-14       2.090829714386e-15      -3.273821439487e-16 
  588       3.146303125961e-10       2.199664326714e-12       3.899062558754e-12       9.804305129249e-15       4.114227902751e-14       2.124454183866e-15      -3.348971986964e-16 
  589       3.134770067622e-10       2.236973102851e-12       3.928875890576e-12       9.817210067014e-15       4.089064157745e-14       2.158144001893e-15      -3.423262407443e-16 
  590       3.123149698655e-10       2.274592964423e-12       3.954566484219e-12       9.829920799318e-15       4.064096872968e-14       2.191880404655e-15      -3.496700239231e-16 
  591       3.111448715860e-10       2.312509372498e-12       3.976101135496e-12       9.842438666244e-15       4.039324049272e-14       2.225644380846e-15      -3.569293243987e-16 
  592       3.099673907188e-10       2.350707574477e-12       3.993446626461e-12       9.854765042357e-15       4.014743624314e-14       2.259416670649e-15      -3.641049407856e-16 
  593       3.087832152115e-10       2.389172603177e-12       4.006569725975e-12       9.866901336860e-15       3.990353472227e-14       2.293177764698e-15      -3.711976942607e-16 
  594       3.075930422020e-10       2.427889275912e-12       4.015437190260e-12       9.878848993764e-15       3.966151403285e-14       2.326907903053e-15      -3.782084286769e-16 
  595       3.063975780564e-10       2.466842193580e-12       4.020015763464e-12       9.890609492043e-15       3.942135163578e-14       2.360587074172e-15      -3.851380106768e-16 
  596       3.051975384069e-10       2.506015739745e-12       4.020272178221e-12       9.902184345799e-15       3.918302434676e-14       2.394195013884e-15      -3.919873298065e-16 
  597       3.039936481898e-10       2.545394079722e-12       4.016173156211e-12       9.913575104424e-15       3.894650833303e-14       2.427711204358e-15      -3.987572986291e-16 
  598       3.027866416828e-10       2.584961159658e-12       4.007685408721e-12       9.924783352762e-15       3.871177911003e-14       2.461114873075e-15      -4.054488528384e-16 
  599       3.015772625434e-10       2.624700705620e-12       3.994775637206e-12       9.935810711269e-15       3.847881153811e-14       2.494384991801e-15      -4.120629513728e-16 
  600       3.003662638462e-10       2.664596222676e-12       3.977410533849e-12       9.946658836177e-15       3.824757981922e-14       2.527500275559e-15      -4.186005765287e-16 
  601       2.991544081213e-10       2.704630993977e-12       3.955556782123e-12       9.957329419655e-15       3.801805749361e-14       2.560439181598e-15      -4.250627340743e-16 
  602       2.979424673915e-10       2.744788079845e-12       3.929181057348e-12       9.967824189970e-15       3.779021743650e-14       2.593179908366e-15      -4.314504533633e-16 
  603       2.967312232109e-10       2.785050316855e-12       3.898250027257e-12       9.978144911652e-15       3.756403185482e-14       2.625700394485e-15      -4.377647874486e-16 
  604       2.955214667020e-10       2.825400316918e-12       3.862730352554e-12       9.988293385651e-15       3.733947228385e-14       2.657978317716e-15      -4.440068131959e-16 
  605       2.943139353925e-10       2.865821323369e-12       3.822599475685e-12       9.998271590048e-15       3.711651378919e-14       2.689995656861e-15      -4.501772920577e-16 
  606       2.931091219780e-10       2.906299803728e-12       3.777878271347e-12       1.000808210557e-14       3.689514769030e-14       2.721752500179e-15      -4.562756431945e-16 
  607       2.919074610291e-10       2.946822917559e-12       3.728599183287e-12       1.001772770063e-14       3.667536913681e-14       2.753253567431e-15      -4.623009458516e-16 
  608       2.907093917932e-10       2.987377664487e-12       3.674795511334e-12       1.002721119195e-14       3.645717292904e-14       2.784503677515e-15      -4.682522764636e-16 
  609       2.895153582116e-10       3.027950883555e-12       3.616501415491e-12       1.003653544471e-14       3.624055351611e-14       2.815507748933e-15      -4.741287086569e-16 
  610       2.883258089365e-10       3.068529252597e-12       3.553751920024e-12       1.004570337283e-14       3.602550499399e-14       2.846270800253e-15      -4.799293132526e-16 
  611       2.871411973484e-10       3.109099287594e-12       3.486582917558e-12       1.005471793910e-14       3.581202110359e-14       2.876797950576e-15      -4.856531582686e-16 
  612       2.859619815730e-10       3.149647342044e-12       3.415031173164e-12       1.006358215546e-14       3.560009522880e-14       2.907094420002e-15      -4.912993089228e-16 
  613       2.847886244987e-10       3.190159606324e-12       3.339134328456e-12       1.007229908315e-14       3.538972039459e-14       2.937165530092e-15      -4.968668276353e-16 
  614       2.836215937931e-10       3.230622107054e-12       3.258930905676e-12       1.008087183297e-14       3.518088926505e-14       2.967016704336e-15      -5.023547740310e-16 
  615       2.824613619208e-10       3.271020706461e-12       3.174460311793e-12       1.008930356543e-14       3.497359414149e-14       2.996653468617e-15      -5.077622049424e-16 
  616       2.813084061604e-10       3.311341101747e-12       3.085762842588e-12       1.009759749101e-14       3.476782696051e-14       3.026081451675e-15      -5.130881744124e-16 
  617       2.801632086211e-10       3.351568824446e-12       2.992879686753e-12       1.010575687033e-14       3.456357929203e-14       3.055306385574e-15      -5.183317336962e-16 
  618       2.790262562608e-10       3.391689239796e-12       2.895852929974e-12       1.011378501439e-14       3.436084233742e-14       3.084334106169e-15      -5.234919312649e-16 
  619       2.778980409023e-10       3.431687546098e-12       2.794725559031e-12       1.012168528475e-14       3.415960692750e-14       3.113170553564e-15      -5.285678128072e-16 
  620       2.767790592510e-10       3.471548774084e-12       2.689541465885e-12       1.012946109377e-14       3.395986352067e-14       3.141821772585e-15      -5.335584212326e-16 
  621       2.756698129120e-10       3.511257786276e-12       2.580345451769e-12       1.013711590477e-14       3.376160220098e-14       3.170293913241e-15      -5.384627966737e-16 
  622       2.745708084071e-10       3.550799276357e-12       2.467183231285e-12       1.014465323227e-14       3.356481267614e-14       3.198593231189e-15      -5.432799764890e-16 
  623       2.734825571918e-10       3.590157768529e-12       2.350101436489e-12       1.015207664223e-14       3.336948427566e-14       3.226726088201e-15      -5.480089952654e-16 
  624       2.724055756729e-10       3.629317616882e-12       2.229147620987e-12       1.015938975216e-14       3.317560594886e-14       3.254698952628e-15      -5.526488848208e-16 
  625       2.713403852253e-10       3.668263004757e-12       2.104370264027e-12       1.016659623145e-14       3.298316626299e-14       3.282518399865e-15      -5.571986742070e-16 
  626       2.702875122091e-10       3.706977944106e-12       1.975818774588e-12       1.017369980148e-14       3.279215340129e-14       3.310191112818e-15      -5.616573897119e-16 
  627       2.692474879869e-10       3.745446274864e-12       1.843543495473e-12       1.018070423588e-14       3.260255516102e-14       3.337723882364e-15      -5.660240548621e-16 
  628       2.682208489411e-10       3.783651664306e-12       1.707595707402e-12       1.018761336071e-14       3.241435895158e-14       3.365123607823e-15      -5.702976904261e-16 
  629       2.672081364907e-10       3.821577606417e-12       1.568027633101e-12       1.019443105470e-14       3.222755179256e-14       3.392397297419e-15      -5.744773144163e-16 
  630       2.662098971085e-10       3.859207421251e-12       1.424892441395e-12       1.020116124941e-14       3.204212031181e-14       3.419552068744e-15      -5.785619420918e-16 
  631       2.652266823385e-10       3.896524254301e-12       1.278244251304e-12       1.020780792951e-14       3.185805074351e-14       3.446595149227e-15      -5.825505859610e-16 
  632       2.642590488128e-10       3.933511075857e-12       1.128138136125e-12       1.021437513291e-14       3.167532892623e-14       3.473533876598e-15      -5.864422557845e-16 
  633       2.633075582689e-10       3.970150680376e-12       9.746301275327e-13       1.022086695100e-14       3.149394030103e-14       3.500375699349e-15      -5.902359585771e-16 
  634       2.623727775667e-10       4.006425685841e-12       8.177772196679e-13       1.022728752889e-14       3.131386990951e-14       3.527128177204e-15      -5.939306986112e-16 
  635       2.614552787058e-10       4.042318533131e-12       6.576373732283e-13       1.023364106556e-14       3.113510239186e-14       3.553798981584e-15      -5.975254774186e-16 
  636       2.605556388424e-10       4.077811485379e-12       4.942695195615e-13       1.023993181411e-14       3.095762198497e-14       3.580395896069e-15      -6.010192937936e-16 
  637       2.596744403067e-10       4.112886627343e-12       3.277335647564e-13       1.024616408196e-14       3.078141252049e-14       3.606926816865e-15      -6.044111437958e-16 
  638       2.588122706200e-10       4.147525864764e-12       1.580903937349e-13       1.025234223102e-14       3.060645742288e-14       3.633399753269e-15      -6.077000207520e-16 
  639       2.579697225118e-10       4.181710923733e-12      -1.459812565654e-14       1.025847067798e-14       3.043273970749e-14       3.659822828133e-15      -6.108849152595e-16 
  640       2.571473939367e-10       4.215423350058e-12      -1.902691385548e-13       1.026455389442e-14       3.026024197864e-14       3.686204278332e-15      -6.139648151884e-16 
  641       2.563458880919e-10       4.248644508621e-12      -3.688587989889e-13       1.027059640709e-14       3.008894642768e-14       3.712552455225e-15      -6.169387056842e-16 
  642       2.555658134345e-10       4.281355582752e-12      -5.503022657877e-13       1.027660279810e-14       2.991883483107e-14       3.738875825125e-15      -6.198055691705e-16 
  643       2.548077836979e-10       4.313537573583e-12      -7.345336984887e-13       1.028257770510e-14       2.974988854843e-14       3.765182969758e-15      -6.225643853517e-16 
  644       2.540723322887e-10       4.345173353467e-12      -9.214850128256e-13       1.028852551852e-14       2.958209117088e-14       3.791479930601e-15      -6.252144506684e-16 
  645       2.533596533133e-10       4.376253878505e-12      -1.111082124558e-12       1.029444946519e-14       2.941543653565e-14       3.817762174946e-15      -6.277563445958e-16 
  646       2.526698547242e-10       4.406772115351e-12      -1.303248612546e-12       1.030035250440e-14       2.924992088901e-14       3.844022448944e-15      -6.301909852182e-16 
  647       2.520030434031e-10       4.436720999850e-12      -1.497906947040e-12       1.030623762911e-14       2.908554025129e-14       3.870253416973e-15      -6.325193118506e-16 
  648       2.513593251529e-10       4.466093436995e-12      -1.694978485221e-12       1.031210786609e-14       2.892229041571e-14       3.896447661343e-15      -6.347422851332e-16 
  649       2.507388046905e-10       4.494882300886e-12      -1.894383466761e-12       1.031796627603e-14       2.876016694724e-14       3.922597681986e-15      -6.368608871264e-16 
  650       2.501415856390e-10       4.523080434689e-12      -2.096041009365e-12       1.032381595369e-14       2.859916518139e-14       3.948695896159e-15      -6.388761214060e-16 
  651       2.495677705201e-10       4.550680650591e-12      -2.299869104325e-12       1.032966002797e-14       2.843928022310e-14       3.974734638138e-15      -6.407890131580e-16 
  652       2.490174607466e-10       4.577675729757e-12      -2.505784612069e-12       1.033550166208e-14       2.828050694553e-14       4.000706158921e-15      -6.426006092730e-16 
  653       2.484907566148e-10       4.604058422292e-12      -2.713703257710e-12       1.034134405361e-14       2.812283998893e-14       4.026602625921e-15      -6.443119784418e-16 
  654       2.479877572969e-10       4.629821447194e-12      -2.923539626597e-12       1.034719043471e-14       2.796627375945e-14       4.052416122664e-15      -6.459242112500e-16 
  655       2.475085608333e-10       4.654957492315e-12      -3.135207159866e-12       1.035304407215e-14       2.781080242798e-14       4.078138648490e-15      -6.474384202727e-16 
  656       2.470532641251e-10       4.679459214316e-12      -3.348618149986e-12       1.035890826750e-14       2.765641992902e-14       4.103762118249e-15      -6.488557401699e-16 
  657       2.466219629266e-10       4.703319238628e-12      -3.563683736313e-12       1.036478635719e-14       2.750311995946e-14       4.129278361998e-15      -6.501773277809e-16 
  658       2.462147518375e-10       4.726530159406e-12      -3.780313900640e-12       1.037068171268e-14       2.735089597746e-14       4.154679124700e-15      -6.514043622193e-16 
  659       2.458317242954e-10       4.749084539487e-12      -3.998417462742e-12       1.037659774055e-14       2.719974120126e-14       4.179956065920e-15      -6.525380449682e-16 
  660       2.454729725684e-10       4.770974910352e-12      -4.217902075933e-12       1.038253788262e-14       2.704964860804e-14       4.205100759527e-15      -6.535795999748e-16 
  661       2.451385877471e-10       4.792193772079e-12      -4.438674222608e-12       1.038850561612e-14       2.690061093272e-14       4.230104693386e-15      -6.545302737454e-16 
  662       2.448286597376e-10       4.812733593302e-12      -4.660639209802e-12       1.039450445372e-14       2.675262066684e-14       4.254959269060e-15      -6.553913354404e-16 
  663       2.445432772530e-10       4.832586811169e-12      -4.883701164731e-12       1.040053794375e-14       2.660567005737e-14       4.279655801506e-15      -6.561640769690e-16 
  664       2.442825278070e-10       4.851745831300e-12      -5.107763030349e-12       1.040660967022e-14       2.645975110552e-14       4.304185518773e-15      -6.568498130841e-16 
  665       2.440464977052e-10       4.870203027744e-12      -5.332726560894e-12       1.041272325305e-14       2.631485556566e-14       4.328539561702e-15      -6.574498814775e-16 
  666       2.438352720381e-10       4.887950742937e-12      -5.558492317438e-12       1.041888234808e-14       2.617097494404e-14       4.352708983619e-15      -6.579656428745e-16 
  667       2.436489346735e-10       4.904981287660e-12      -5.784959663438e-12       1.042509064728e-14       2.602810049774e-14       4.376684750038e-15      -6.583984811289e-16 
  668       2.434875682487e-10       4.921286940994e-12      -6.012026760289e-12       1.043135187881e-14       2.588622323342e-14       4.400457738354e-15      -6.587498033178e-16 
  669       2.433512541629e-10       4.936859950282e-12      -6.239590562865e-12       1.043766980718e-14       2.574533390620e-14       4.424018737546e-15      -6.590210398368e-16 
  670       2.432400725700e-10       4.951692531084e-12      -6.467546815081e-12       1.044404823334e-14       2.560542301847e-14       4.447358447869e-15      -6.592136444946e-16 
  671       2.431541023705e-10       4.965776867136e-12      -6.695790045431e-12       1.045049099483e-14       2.546648081877e-14       4.470467480557e-15      -6.593290946078e-16 
  672       2.430934212042e-10       4.979105110304e-12      -6.924213562548e-12       1.045700196586e-14       2.532849730058e-14       4.493336357518e-15      -6.593688910964e-16 
  673       2.430581054424e-10       4.991669380548e-12      -7.152709450747e-12       1.046358505749e-14       2.519146220116e-14       4.515955511031e-15      -6.593345585780e-16 
  674       2.430482301806e-10       5.003461765874e-12      -7.381168565578e-12       1.047024421768e-14       2.505536500041e-14       4.538315283446e-15      -6.592276454629e-16 
  675       2.430638692308e-10       5.014474322293e-12      -7.609480529375e-12       1.047698343148e-14       2.492019491970e-14       4.560405926882e-15      -6.590497240495e-16 
  676       2.431050951136e-10       5.024699073783e-12      -7.837533726807e-12       1.048380672108e-14       2.478594092069e-14       4.582217602922e-15      -6.588023906185e-16 
  677       2.431719790513e-10       5.034128012238e-12      -8.065215300427e-12       1.049071814599e-14       2.465259170418e-14       4.603740382312e-15      -6.584872655280e-16 
  678       2.432645909594e-10       5.042753097436e-12      -8.292411146222e-12       1.049772180313e-14       2.452013570894e-14       4.624964244663e-15      -6.581059933088e-16 
  679       2.433829994398e-10       5.050566256988e-12      -8.519005909164e-12       1.050482182697e-14       2.438856111053e-14       4.645879078139e-15      -6.576602427587e-16 
  680       2.435272717727e-10       5.057559386299e-12      -8.744882978757e-12       1.051202238961e-14       2.425785582019e-14       4.666474679166e-15      -6.571517070379e-16 
  681       2.436974739095e-10       5.063724348528e-12      -8.969924484590e-12       1.051932770094e-14       2.412800748361e-14       4.686740752123e-15      -6.565821037637e-16 
  682       2.438936704646e-10       5.069052974541e-12      -9.194011291888e-12       1.052674200877e-14       2.399900347981e-14       4.706666909039e-15      -6.559531751052e-16 
  683       2.441158704388e-10       5.073539067439e-12      -9.417031704729e-12       1.053426904580e-14       2.387083266967e-14       4.726244331076e-15      -6.552663782446e-16 
  684       2.443638631318e-10       5.077184463170e-12      -9.638907788606e-12       1.054191035755e-14       2.374349068499e-14       4.745470792484e-15      -6.545219493169e-16 
  685       2.446373787119e-10       5.079993099197e-12      -9.859569600935e-12       1.054966693898e-14       2.361697475002e-14       4.764345743286e-15      -6.537198196770e-16 
  686       2.449361421469e-10       5.081969022125e-12      -1.007894653206e-11       1.055753978439e-14       2.349128194129e-14       4.782868657332e-15      -6.528599237393e-16 
  687       2.452598731827e-10       5.083116388167e-12      -1.029696730303e-11       1.056552988735e-14       2.336640918685e-14       4.801039032426e-15      -6.519421989936e-16 
  688       2.456082863213e-10       5.083439463620e-12      -1.051355996340e-11       1.057363824070e-14       2.324235326559e-14       4.818856390447e-15      -6.509665860199e-16 
  689       2.459810907999e-10       5.082942625337e-12      -1.072865188900e-11       1.058186583653e-14       2.311911080650e-14       4.836320277477e-15      -6.499330285042e-16 
  690       2.463779905689e-10       5.081630361199e-12      -1.094216977975e-11       1.059021366615e-14       2.299667828797e-14       4.853430263925e-15      -6.488414732538e-16 
  691       2.467986842703e-10       5.079507270588e-12      -1.115403965739e-11       1.059868272007e-14       2.287505203707e-14       4.870185944650e-15      -6.476918702122e-16 
  692       2.472428652167e-10       5.076578064860e-12      -1.136418686335e-11       1.060727398797e-14       2.275422822885e-14       4.886586939087e-15      -6.464841724753e-16 
  693       2.477102213694e-10       5.072847567817e-12      -1.157253605646e-11       1.061598845871e-14       2.263420288559e-14       4.902632891371e-15      -6.452183363058e-16 
  694       2.482004353168e-10       5.068320716179e-12      -1.177901121077e-11       1.062482712028e-14       2.251497187613e-14       4.918323470463e-15      -6.438943211496e-16 
  695       2.487131842529e-10       5.063002560056e-12      -1.198353561335e-11       1.063379095976e-14       2.239653091511e-14       4.933658370273e-15      -6.425120896501e-16 
  696       2.492481399562e-10       5.056898263425e-12      -1.218603186205e-11       1.064288096336e-14       2.227887556231e-14       4.948637309785e-15      -6.410716076645e-16 
  697       2.498049687675e-10       5.050013104597e-12      -1.238642186330e-11       1.065209811633e-14       2.216200122187e-14       4.963260033181e-15      -6.395728442785e-16 
  698       2.503833315688e-10       5.042352476691e-12      -1.258462682988e-11       1.066144340300e-14       2.204590314162e-14       4.977526309970e-15      -6.380157718222e-16 
  699       2.509828837616e-10       5.033921888110e-12      -1.278056727874e-11       1.067091780669e-14       2.193057641237e-14       4.991435935105e-15      -6.364003658848e-16 
  700       2.516032752457e-10       5.024726963008e-12      -1.297416302877e-11       1.068052230975e-14       2.181601596715e-14       5.004988729114e-15      -6.347266053307e-16 
  701       2.522441503970e-10       5.014773441769e-12      -1.316533319857e-11       1.069025789352e-14       2.170221658056e-14       5.018184538222e-15      -6.329944723143e-16 
  702       2.529051480466e-10       5.004067181473e-12      -1.335399620424e-11       1.070012553829e-14       2.158917286798e-14       5.031023234476e-15      -6.312039522959e-16 
  703       2.535859014590e-10       4.992614156372e-12      -1.354006975722e-11       1.071012622329e-14       2.147687928493e-14       5.043504715870e-15      -6.293550340563e-16 
