# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.653254310756e-10       7.720376834284e-15       2.357939827739e-13       6.522601118767e-17       8.507645658573e-11       8.857662599897e-12      -7.426165611459e-15 
   41       1.678218812521e-10       8.384603443739e-15       2.263243135371e-13       6.853322939942e-17       8.087135150019e-11       8.445880380299e-12      -6.837424254968e-15 
   42       1.703369926772e-10       9.084429050893e-15       2.154591935081e-13       7.192356682823e-17       7.694622927115e-11       8.062376238823e-12      -6.501725443070e-15 
   43       1.728604043989e-10       9.820346347027e-15       2.032800649872e-13       7.539706270035e-17       7.325874908433e-11       7.704643569261e-12      -6.532349860645e-15 
   44       1.753968612868e-10       1.059298589698e-14       1.897429213949e-13       7.895374714137e-17       6.980323972705e-11       7.371857534362e-12      -6.879100154270e-15 
   45       1.779541241118e-10       1.140299703312e-14       1.747609827241e-13       8.259364386138e-17       6.657618400372e-11       7.062720666973e-12      -7.428385462889e-15 
   46       1.805382252393e-10       1.225100177745e-14       1.582357695443e-13       8.631677119892e-17       6.356248177793e-11       6.774577342196e-12      -8.040489596070e-15 
   47       1.831532613162e-10       1.313759386929e-14       1.400563055239e-13       9.012314215146e-17       6.073454687201e-11       6.503311964011e-12      -8.548040876930e-15 
   48       1.858013802316e-10       1.406327122145e-14       1.201209467848e-13       9.401276164110e-17       5.806080032687e-11       6.244537912410e-12      -8.801758118476e-15 
   49       1.884832213787e-10       1.502821304271e-14       9.841200720092e-14       9.798561732965e-17       5.553608850219e-11       5.997798265081e-12      -8.826507577884e-15 
   50       1.911972433116e-10       1.603243821838e-14       7.494079890061e-14       1.020416862667e-16       5.315828783835e-11       5.763374280917e-12      -8.706607565133e-15 
   51       1.939393477664e-10       1.707586213528e-14       4.972719023429e-14       1.061809373201e-16       5.091924386170e-11       5.541062951861e-12      -8.543253275558e-15 
