# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:phiphi                 4:TPhi               
   88       3.030861352647e-10       1.409421007314e-11       1.664141010611e-12 
   89       3.067927327124e-10       1.368618469621e-11       1.624620264496e-12 
   90       3.105291871465e-10       1.329192801631e-11       1.586383145932e-12 
   91       3.142959320408e-10       1.291148558109e-11       1.549432719783e-12 
   92       3.180932288990e-10       1.254476631502e-11       1.513758359753e-12 
   93       3.219211587809e-10       1.219153709853e-11       1.479335203760e-12 
   94       3.257796138286e-10       1.185141734715e-11       1.446123609306e-12 
   95       3.296682887925e-10       1.152387359071e-11       1.414068608844e-12 
   96       3.335866725579e-10       1.120821405251e-11       1.383099365149e-12 
   97       3.375340396707e-10       1.090358322844e-11       1.353128626689e-12 
   98       3.415094418638e-10       1.060895646621e-11       1.324052182992e-12 
   99       3.455119481425e-10       1.032337406417e-11       1.295773085814e-12 
  100       3.495414221585e-10       1.004669311983e-11       1.268279404446e-12 
  101       3.535978397145e-10       9.778932599382e-12       1.241576523251e-12 
  102       3.576810446363e-10       9.520040832790e-12       1.215663117059e-12 
  103       3.617907433121e-10       9.269892996257e-12       1.190530906729e-12 
  104       3.659264992308e-10       9.028288594647e-12       1.166164414708e-12 
  105       3.700877275220e-10       8.794948943923e-12       1.142540720595e-12 
  106       3.742736894942e-10       8.569514653582e-12       1.119629216700e-12 
  107       3.784834871741e-10       8.351543109093e-12       1.097391363606e-12 
  108       3.827160578457e-10       8.140505954327e-12       1.075780445730e-12 
  109       3.869701685894e-10       7.935786573996e-12       1.054741326884e-12 
  110       3.912446289017e-10       7.736818547145e-12       1.034223399351e-12 
  111       3.955389711996e-10       7.543526547623e-12       1.014221839044e-12 
  112       3.998528475913e-10       7.355937420363e-12       9.947411972226e-13 
  113       4.041858163009e-10       7.174043135171e-12       9.757825654886e-13 
  114       4.085373383502e-10       6.997799654629e-12       9.573434610140e-13 
  115       4.129067742416e-10       6.827125801994e-12       9.394177117669e-13 
  116       4.172933806397e-10       6.661902129097e-12       9.219953417389e-13 
  117       4.216963070544e-10       6.501969784246e-12       9.050624561729e-13 
  118       4.261145925225e-10       6.347129380125e-12       8.886011267897e-13 
  119       4.305471622907e-10       6.197139861692e-12       8.725892770152e-13 
  120       4.349928244974e-10       6.051717374083e-12       8.570005672079e-13 
  121       4.394502668551e-10       5.910534130510e-12       8.418042798860e-13 
  122       4.439180533330e-10       5.773217280163e-12       8.269652049543e-13 
