# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:phiphi                 4:TPhi               
   87       2.996733590671e-10       1.451623284834e-11       1.704962820562e-12 
   88       3.033533622504e-10       1.409421007314e-11       1.664141010611e-12 
   89       3.070629099129e-10       1.368618469621e-11       1.624620264496e-12 
   90       3.108022331181e-10       1.329192801631e-11       1.586383145932e-12 
   91       3.145717605490e-10       1.291148558109e-11       1.549432719783e-12 
   92       3.183717487437e-10       1.254476631502e-11       1.513758359753e-12 
   93       3.222022736178e-10       1.219153709853e-11       1.479335203760e-12 
   94       3.260632219858e-10       1.185141734715e-11       1.446123609306e-12 
   95       3.299542830828e-10       1.152387359071e-11       1.414068608844e-12 
   96       3.338749400867e-10       1.120821405251e-11       1.383099365149e-12 
   97       3.378244616397e-10       1.090358322844e-11       1.353128626689e-12 
   98       3.418018933703e-10       1.060895646621e-11       1.324052182992e-12 
   99       3.458062980896e-10       1.032337406417e-11       1.295773085814e-12 
  100       3.498375335269e-10       1.004669311983e-11       1.268279404446e-12 
  101       3.538955695162e-10       9.778932599382e-12       1.241576523251e-12 
  102       3.579802437544e-10       9.520040832790e-12       1.215663117059e-12 
  103       3.620912563375e-10       9.269892996257e-12       1.190530906729e-12 
  104       3.662281642962e-10       9.028288594647e-12       1.166164414708e-12 
  105       3.703903761324e-10       8.794948943923e-12       1.142540720595e-12 
  106       3.745771463549e-10       8.569514653582e-12       1.119629216700e-12 
  107       3.787875700158e-10       8.351543109093e-12       1.097391363606e-12 
  108       3.830205772462e-10       8.140505954327e-12       1.075780445730e-12 
  109       3.872749277925e-10       7.935786573996e-12       1.054741326884e-12 
  110       3.915494245285e-10       7.736818547145e-12       1.034223399351e-12 
  111       3.958435967711e-10       7.543526547623e-12       1.014221839044e-12 
  112       4.001570945958e-10       7.355937420363e-12       9.947411972226e-13 
  113       4.044894744037e-10       7.174043135171e-12       9.757825654886e-13 
  114       4.088401956094e-10       6.997799654629e-12       9.573434610140e-13 
  115       4.132086173295e-10       6.827125801994e-12       9.394177117669e-13 
  116       4.175939950707e-10       6.661902129097e-12       9.219953417389e-13 
  117       4.219954774176e-10       6.501969784246e-12       9.050624561729e-13 
  118       4.264121027212e-10       6.347129380125e-12       8.886011267897e-13 
  119       4.308427957870e-10       6.197139861692e-12       8.725892770152e-13 
  120       4.352863645629e-10       6.051717374083e-12       8.570005672079e-13 
  121       4.397414968276e-10       5.910534130510e-12       8.418042798860e-13 
  122       4.442067568787e-10       5.773217280163e-12       8.269652049543e-13 
  123       4.486807543607e-10       5.639429009150e-12       8.124515476991e-13 
  124       4.531626797656e-10       5.509119674419e-12       7.982599259288e-13 
  125       4.576518244965e-10       5.382301752221e-12       7.843930416257e-13 
  126       4.621474123007e-10       5.258970721859e-12       7.708518642735e-13 
  127       4.666485973121e-10       5.139104572721e-12       7.576355792071e-13 
  128       4.711544620938e-10       5.022663311302e-12       7.447415359609e-13 
  129       4.756640156806e-10       4.909588468234e-12       7.321651966180e-13 
  130       4.801761916213e-10       4.799802605312e-12       7.199000841586e-13 
  131       4.846898460217e-10       4.693208822525e-12       7.079377308096e-13 
  132       4.892037555865e-10       4.589690265076e-12       6.962676263928e-13 
  133       4.937166156622e-10       4.489109630416e-12       6.848771666743e-13 
  134       4.982270382796e-10       4.391308675270e-12       6.737516017128e-13 
  135       5.027335501961e-10       4.296107722660e-12       6.628739842090e-13 
  136       5.072345909383e-10       4.203305168937e-12       6.522251178544e-13 
  137       5.117286466129e-10       4.112720010263e-12       6.417878409330e-13 
  138       5.162146711089e-10       4.024325432172e-12       6.315604867363e-13 
  139       5.206917049727e-10       3.938128173405e-12       6.215447245730e-13 
  140       5.251587424644e-10       3.854126528925e-12       6.117413255818e-13 
  141       5.296147304628e-10       3.772310129991e-12       6.021501385976e-13 
  142       5.340585673690e-10       3.692659724247e-12       5.927700660165e-13 
  143       5.384891020113e-10       3.615146955792e-12       5.835990396617e-13 
  144       5.429051325488e-10       3.539734145269e-12       5.746339966490e-13 
  145       5.473054053763e-10       3.466374069940e-12       5.658708552521e-13 
  146       5.516886140279e-10       3.395009743765e-12       5.573044907686e-13 
  147       5.560533980819e-10       3.325574197487e-12       5.489287113852e-13 
  148       5.603983420646e-10       3.257990258706e-12       5.407362340434e-13 
  149       5.647219743547e-10       3.192170331964e-12       5.327186603050e-13 
  150       5.690227660877e-10       3.128016178822e-12       5.248664522177e-13 
  151       5.732991300599e-10       3.065418697941e-12       5.171689081807e-13 
  152       5.775494196328e-10       3.004257705162e-12       5.096141388102e-13 
  153       5.817720515174e-10       2.944426613841e-12       5.021915742395e-13 
  154       5.859658892729e-10       2.885909519648e-12       4.948997990139e-13 
  155       5.901298935262e-10       2.828710893854e-12       4.877394027228e-13 
  156       5.942630008338e-10       2.772831234615e-12       4.807105028599e-13 
  157       5.983641232172e-10       2.718266973872e-12       4.738127335811e-13 
  158       6.024321476983e-10       2.665010384241e-12       4.670452344627e-13 
  159       6.064659358338e-10       2.613049485915e-12       4.604066392592e-13 
  160       6.104643232514e-10       2.562367953554e-12       4.538950646615e-13 
  161       6.144261191841e-10       2.512945023183e-12       4.475080990548e-13 
  162       6.183501060058e-10       2.464755399088e-12       4.412427912766e-13 
  163       6.222350387665e-10       2.417769160711e-12       4.350956393748e-13 
  164       6.260796447272e-10       2.371951669548e-12       4.290625793657e-13 
  165       6.298826228954e-10       2.327263476038e-12       4.231389739921e-13 
  166       6.336426435600e-10       2.283660226467e-12       4.173196014811e-13 
  167       6.373583478264e-10       2.241092569859e-12       4.115986443023e-13 
  168       6.410283471523e-10       2.199506064870e-12       4.059696779257e-13 
  169       6.446512228819e-10       2.158841086690e-12       4.004256595797e-13 
  170       6.482255257820e-10       2.119032733932e-12       3.949589170095e-13 
  171       6.517498697744e-10       2.080023848923e-12       3.895628404771e-13 
  172       6.552232228793e-10       2.041805491760e-12       3.842371406159e-13 
  173       6.586446397535e-10       2.004379678328e-12       3.789830094804e-13 
  174       6.620131695961e-10       1.967746531376e-12       3.738014525062e-13 
  175       6.653278560684e-10       1.931904240912e-12       3.686932842164e-13 
  176       6.685877372130e-10       1.896849024606e-12       3.636591239293e-13 
  177       6.717918453734e-10       1.862575088183e-12       3.586993914652e-13 
  178       6.749392071137e-10       1.829074585825e-12       3.538143028539e-13 
  179       6.780288431378e-10       1.796337580565e-12       3.490038660417e-13 
  180       6.810597682089e-10       1.764352004688e-12       3.442678765988e-13 
  181       6.840309910695e-10       1.733103620126e-12       3.396059134262e-13 
  182       6.869415143600e-10       1.702575978860e-12       3.350173344632e-13 
  183       6.897903345393e-10       1.672750383313e-12       3.305012723943e-13 
  184       6.925764418031e-10       1.643605846750e-12       3.260566303566e-13 
  185       6.952988200045e-10       1.615119053678e-12       3.216820776470e-13 
  186       6.979564465726e-10       1.587264320241e-12       3.173760454291e-13 
  187       7.005482924328e-10       1.560013554617e-12       3.131367224408e-13 
  188       7.030733219255e-10       1.533336217419e-12       3.089620507013e-13 
  189       7.055304927262e-10       1.507199282091e-12       3.048497212182e-13 
  190       7.079187557647e-10       1.481567195308e-12       3.007971696948e-13 
  191       7.102371259825e-10       1.456408834307e-12       2.968021521186e-13 
  192       7.124849006995e-10       1.431719044243e-12       2.928645286886e-13 
  193       7.146614575093e-10       1.407498643793e-12       2.889846057413e-13 
  194       7.167661850646e-10       1.383747556903e-12       2.851625655237e-13 
  195       7.187984832281e-10       1.360464796078e-12       2.813984637976e-13 
  196       7.207577632245e-10       1.337648445683e-12       2.776922274446e-13 
  197       7.226434477913e-10       1.315295645226e-12       2.740436520707e-13 
  198       7.244549713301e-10       1.293402572661e-12       2.704523996112e-13 
  199       7.261917800582e-10       1.271964427677e-12       2.669179959350e-13 
  200       7.278533321595e-10       1.250975414991e-12       2.634398284496e-13 
  201       7.294390979361e-10       1.230428727643e-12       2.600171437060e-13 
  202       7.309485599597e-10       1.210316530293e-12       2.566490450028e-13 
  203       7.323812132222e-10       1.190629942506e-12       2.533344899915e-13 
  204       7.337365652879e-10       1.171359022054e-12       2.500722882810e-13 
  205       7.350141364443e-10       1.152492748206e-12       2.468610990422e-13 
  206       7.362134598533e-10       1.134019005022e-12       2.436994286130e-13 
  207       7.373340817028e-10       1.115924564645e-12       2.405856281025e-13 
  208       7.383755613578e-10       1.098195070598e-12       2.375178909962e-13 
  209       7.393374715118e-10       1.080815021076e-12       2.344942507607e-13 
  210       7.402193983380e-10       1.063767752236e-12       2.315125784479e-13 
  211       7.410209416408e-10       1.047035421498e-12       2.285705803003e-13 
  212       7.417417150066e-10       1.030598990833e-12       2.256657953553e-13 
  213       7.423813827119e-10       1.014441897166e-12       2.227961210375e-13 
  214       7.429397729045e-10       9.985613739644e-13       2.199614343857e-13 
  215       7.434167723608e-10       9.829578622630e-13       2.171620757282e-13 
  216       7.438122906634e-10       9.676313853099e-13       2.143983295366e-13 
  217       7.441262604490e-10       9.525815415679e-13       2.116704234197e-13 
  218       7.443586376566e-10       9.378074977146e-13       2.089785271189e-13 
  219       7.445094017754e-10       9.233079816429e-13       2.063227515025e-13 
  220       7.445785560929e-10       9.090812754613e-13       2.037031475605e-13 
  221       7.445661279431e-10       8.951252084941e-13       2.011197053994e-13 
  222       7.444721689544e-10       8.814371502818e-13       1.985723532366e-13 
  223       7.442967552975e-10       8.680140035816e-13       1.960609563956e-13 
  224       7.440399879340e-10       8.548521973677e-13       1.935853163001e-13 
  225       7.437019928639e-10       8.419476798314e-13       1.911451694691e-13 
  226       7.432829213741e-10       8.292959113817e-13       1.887401865116e-13 
  227       7.427829502859e-10       8.168918576458e-13       1.863699711210e-13 
  228       7.422022822037e-10       8.047299824688e-13       1.840340590702e-13 
  229       7.415411457627e-10       7.928042409148e-13       1.817319172059e-13 
  230       7.407997958769e-10       7.811080722669e-13       1.794629424437e-13 
  231       7.399785139874e-10       7.696343930274e-13       1.772264607622e-13 
  232       7.390776083103e-10       7.583755899185e-13       1.750217261986e-13 
  233       7.380974140848e-10       7.473235128824e-13       1.728479198424e-13 
  234       7.370382938214e-10       7.364694680816e-13       1.707041488309e-13 
  235       7.359006375495e-10       7.258042108995e-13       1.685894453433e-13 
  236       7.346848630661e-10       7.153179389405e-13       1.665027655960e-13 
  237       7.333914161834e-10       7.050002850306e-13       1.644429888368e-13 
  238       7.320207636668e-10       6.948422838871e-13       1.624091284176e-13 
  239       7.305733710608e-10       6.848424188114e-13       1.604009812812e-13 
  240       7.290497240012e-10       6.750009277509e-13       1.584185158726e-13 
  241       7.274503356351e-10       6.653178597561e-13       1.564616630461e-13 
  242       7.257757468540e-10       6.557930721445e-13       1.545303155065e-13 
  243       7.240265265263e-10       6.464262276647e-13       1.526243272517e-13 
  244       7.222032717302e-10       6.372167916607e-13       1.507435130148e-13 
  245       7.203066079859e-10       6.281640292358e-13       1.488876477058e-13 
  246       7.183371894884e-10       6.192670024164e-13       1.470564658543e-13 
  247       7.162956993404e-10       6.105245673166e-13       1.452496610511e-13 
  248       7.141828497845e-10       6.019353713019e-13       1.434668853905e-13 
  249       7.119993824362e-10       5.934978501531e-13       1.417077489126e-13 
  250       7.097460685164e-10       5.852102252309e-13       1.399718190449e-13 
  251       7.074237090840e-10       5.770705006396e-13       1.382586200451e-13 
  252       7.050331352686e-10       5.690764603909e-13       1.365676324423e-13 
  253       7.025752085030e-10       5.612256655688e-13       1.348982924802e-13 
  254       7.000508207562e-10       5.535154514927e-13       1.332499915581e-13 
  255       6.974608947655e-10       5.459429248821e-13       1.316220756739e-13 
  256       6.948063842696e-10       5.385049610204e-13       1.300138448657e-13 
  257       6.920882742411e-10       5.311982009190e-13       1.284245526539e-13 
  258       6.893075811189e-10       5.240190484814e-13       1.268534054837e-13 
  259       6.864653530413e-10       5.169636676672e-13       1.252995621668e-13 
  260       6.835626700781e-10       5.100279796563e-13       1.237621333236e-13 
  261       6.806006444638e-10       5.032076600128e-13       1.222401808255e-13 
  262       6.775804208298e-10       4.964981358491e-13       1.207327172366e-13 
  263       6.745031764371e-10       4.898945829899e-13       1.192387052564e-13 
  264       6.713701214092e-10       4.833919231365e-13       1.177570571614e-13 
  265       6.681824989645e-10       4.769848210306e-13       1.162866342472e-13 
  266       6.649415272699e-10       4.706686790442e-13       1.148264894241e-13 
  267       6.616482210243e-10       4.644426866168e-13       1.133766107437e-13 
  268       6.583035606397e-10       4.583069308920e-13       1.119372171620e-13 
  269       6.549085498804e-10       4.522614130565e-13       1.105085188751e-13 
  270       6.514642159979e-10       4.463060471890e-13       1.090907171719e-13 
  271       6.479716098644e-10       4.404406591093e-13       1.076840042876e-13 
  272       6.444318061071e-10       4.346649852282e-13       1.062885632561e-13 
  273       6.408459032419e-10       4.289786713964e-13       1.049045677633e-13 
  274       6.372150238075e-10       4.233812717541e-13       1.035321819998e-13 
  275       6.335403144995e-10       4.178722475800e-13       1.021715605139e-13 
  276       6.298229463044e-10       4.124509661410e-13       1.008228480648e-13 
  277       6.260641146334e-10       4.071166995411e-13       9.948617947510e-14 
  278       6.222650394567e-10       4.018686235713e-13       9.816167948395e-14 
  279       6.184269654372e-10       3.967058165584e-13       9.684946260010e-14 
