#scalar perturbations for mode k = 4.000000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_NEDE            17:theta_NEDE            18:shear_NEDE            19:delta_cdm             20:theta_cdm             21:delta_trigger         22:theta_hat_trigger  
       3.076213518392e-05       6.637072395239e-11      -5.047028594350e-13      -2.070342544063e-21       5.056951773801e-23       1.264237943450e-22       9.724688197895e-39       2.528475886901e-23      -3.785271445762e-13      -2.070342544063e-21       6.011520071857e-01       6.994698609691e-01      -5.047028594350e-13      -3.065955545133e-21       6.067560742610e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -3.785271445762e-13       0.000000000000e+00      -5.810749492134e-40      -5.108382656423e-44 
       3.114594368314e-05       6.719880852151e-11      -5.173751933198e-13      -2.148800930966e-21       5.248617804120e-23       1.312154451030e-22       1.034670004158e-38       2.624308902060e-23      -3.880313949899e-13      -2.148800930966e-21       6.011514463771e-01       6.994691107443e-01      -5.173751933198e-13      -3.182143122829e-21       6.219898983511e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -3.880313949899e-13       0.000000000000e+00      -6.259772061871e-40      -5.571311402185e-44 
       3.426247715629e-05       7.392287351919e-11      -6.260930494024e-13      -2.862322057832e-21       6.984251587949e-23       1.746062896987e-22       1.666139343757e-38       3.492125793975e-23      -4.695697870518e-13      -2.862322057831e-21       6.012795067527e-01       6.995914806038e-01      -6.260930494024e-13      -4.238771134537e-21       7.526494166644e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -4.695697870519e-13       0.000000000000e+00      -1.074663556949e-39      -1.099330942483e-43 
       3.519743719824e-05       7.594009303402e-11      -6.607287093090e-13      -3.102955024918e-21       7.572000764346e-23       1.893000191086e-22       1.906279873892e-38       3.786000382173e-23      -4.955465319818e-13      -3.102955024918e-21       6.012718454483e-01       6.995818504091e-01      -6.607287093090e-13      -4.595112522726e-21       7.942708080701e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -4.955465319818e-13       0.000000000000e+00      -1.263765298111e-39      -1.325901943218e-43 
       3.613239724018e-05       7.795731255601e-11      -6.962968114556e-13      -3.356718638119e-21       8.191818866334e-23       2.047954716584e-22       2.173340749540e-38       4.095909433167e-23      -5.222226085917e-13      -3.356718638119e-21       6.012650119443e-01       6.995732101880e-01      -6.962968114556e-13      -4.970896142691e-21       8.370127779949e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -5.222226085917e-13       0.000000000000e+00      -1.480340640598e-39      -1.591448369845e-43 
       3.706735728213e-05       7.997453208516e-11      -7.327973542169e-13      -3.623969835047e-21       8.844544558810e-23       2.211136139703e-22       2.469520602459e-38       4.422272279405e-23      -5.495980156627e-13      -3.623969835047e-21       6.012592696502e-01       6.995658850069e-01      -7.327973542169e-13      -5.366650566108e-21       8.808760301031e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -5.495980156627e-13       0.000000000000e+00      -1.727559466173e-39      -1.901454873312e-43 
       3.800231732407e-05       8.199175162147e-11      -7.702303362886e-13      -3.905051360506e-21       9.531039448934e-23       2.382759862234e-22       2.797141005616e-38       4.765519724467e-23      -5.776727522164e-13      -3.905051360506e-21       6.012541200821e-01       6.995593654731e-01      -7.702303362885e-13      -5.782883422369e-21       9.258607076592e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -5.776727522164e-13       0.000000000000e+00      -2.008822592597e-39      -2.261922631495e-43 
       3.970677230382e-05       8.566919209689e-11      -8.408709445661e-13      -4.454439336581e-21       1.087184061440e-22       2.717960153600e-22       3.483262331738e-38       5.435920307200e-23      -6.306532084246e-13      -4.454439336581e-21       6.012567479406e-01       6.995598551470e-01      -8.408709445661e-13      -6.596426819161e-21       1.010753424161e-13       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -6.306532084246e-13       0.000000000000e+00      -2.614511463403e-39      -3.074531079550e-43 
       4.141122728357e-05       8.934663259611e-11      -9.146104286663e-13      -5.053067945140e-21       1.233285584288e-22       3.083213960720e-22       4.297875164186e-38       6.166427921439e-23      -6.859578214997e-13      -5.053067945140e-21       6.012585515546e-01       6.995598355609e-01      -9.146104286663e-13      -7.482880982015e-21       1.099370809177e-13       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -6.859578214998e-13       0.000000000000e+00      -3.366202287980e-39      -4.125371560175e-43 
       4.192256377749e-05       9.044986475052e-11      -9.373365542240e-13      -5.242445294035e-21       1.279558303074e-22       3.198895757685e-22       4.569931462119e-38       6.397791515370e-23      -7.030024156680e-13      -5.242445294034e-21       6.012540282991e-01       6.995548363903e-01      -9.373365542240e-13      -7.763311518041e-21       1.126682541891e-13       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -7.030024156681e-13       0.000000000000e+00      -3.627601715784e-39      -4.493075701292e-43 
